[Fri May 23 22:38:00 2025] REP socket em tcp://*:5560
[Fri May 23 22:38:00 2025] Conectado no broker REQ em tcp://localhost:5559
[Fri May 23 22:38:00 2025] Rank recebido: 1, Coordenador: True
[Fri May 23 22:38:00 2025] Conectando no PUB do Broker em tcp://localhost:5558
[Fri May 23 22:38:00 2025] Iniciando sincronização do coordenador
[Fri May 23 22:38:54 2025] Status - Local: 1748039880.586, Lógico: 54, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:38:55 2025] Status - Local: 1748039880.586, Lógico: 55, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:38:56 2025] Status - Local: 1748039880.586, Lógico: 56, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:38:57 2025] Status - Local: 1748039880.586, Lógico: 57, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:38:58 2025] Status - Local: 1748039880.586, Lógico: 58, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:38:59 2025] Status - Local: 1748039880.586, Lógico: 59, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:39:00 2025] Nenhum servidor conhecido para sincronizar
[Fri May 23 22:39:00 2025] Status - Local: 1748039880.586, Lógico: 60, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:39:01 2025] Status - Local: 1748039880.586, Lógico: 61, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:39:02 2025] Status - Local: 1748039880.586, Lógico: 62, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:39:03 2025] Status - Local: 1748039880.586, Lógico: 63, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:39:04 2025] Status - Local: 1748039880.586, Lógico: 64, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:39:05 2025] Status - Local: 1748039880.586, Lógico: 65, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:39:06 2025] Status - Local: 1748039880.586, Lógico: 66, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:39:07 2025] Status - Local: 1748039880.586, Lógico: 67, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:39:08 2025] Status - Local: 1748039880.586, Lógico: 68, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:39:09 2025] Status - Local: 1748039880.586, Lógico: 69, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:39:10 2025] Nenhum servidor conhecido para sincronizar
[Fri May 23 22:39:10 2025] Status - Local: 1748039880.586, Lógico: 70, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:39:11 2025] Status - Local: 1748039880.586, Lógico: 71, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:39:12 2025] Status - Local: 1748039880.586, Lógico: 72, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:39:13 2025] Status - Local: 1748039880.586, Lógico: 73, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:39:14 2025] Status - Local: 1748039880.586, Lógico: 74, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:39:15 2025] Status - Local: 1748039880.586, Lógico: 75, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:39:16 2025] Status - Local: 1748039880.586, Lógico: 76, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:39:17 2025] Status - Local: 1748039880.586, Lógico: 77, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:39:18 2025] Status - Local: 1748039880.586, Lógico: 78, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:39:19 2025] Status - Local: 1748039880.586, Lógico: 79, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:39:20 2025] Nenhum servidor conhecido para sincronizar
[Fri May 23 22:39:20 2025] Status - Local: 1748039880.586, Lógico: 80, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:39:21 2025] Status - Local: 1748039880.586, Lógico: 81, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:39:22 2025] Status - Local: 1748039880.586, Lógico: 82, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:39:23 2025] Status - Local: 1748039880.586, Lógico: 83, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:39:24 2025] Status - Local: 1748039880.586, Lógico: 84, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:39:25 2025] Status - Local: 1748039880.586, Lógico: 85, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:39:26 2025] Status - Local: 1748039880.586, Lógico: 86, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:39:27 2025] Status - Local: 1748039880.586, Lógico: 87, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:39:28 2025] Status - Local: 1748039880.586, Lógico: 88, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:39:29 2025] Status - Local: 1748039880.586, Lógico: 89, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:39:30 2025] Nenhum servidor conhecido para sincronizar
[Fri May 23 22:39:30 2025] Status - Local: 1748039880.586, Lógico: 90, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:39:31 2025] Status - Local: 1748039880.586, Lógico: 91, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:39:32 2025] Status - Local: 1748039880.586, Lógico: 92, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:39:33 2025] Status - Local: 1748039880.586, Lógico: 93, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:39:34 2025] Status - Local: 1748039880.586, Lógico: 94, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:39:35 2025] Status - Local: 1748039880.586, Lógico: 95, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:39:36 2025] Status - Local: 1748039880.586, Lógico: 96, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
