[Fri May 23 23:15:29 2025] REP socket em tcp://*:5552
[Fri May 23 23:15:29 2025] Conectado no broker REQ em tcp://localhost:5559
[Fri May 23 23:15:29 2025] Rank recebido: 3, Coordenador: False
[Fri May 23 23:15:29 2025] Conectando no PUB do Broker em tcp://localhost:5558
[Fri May 23 23:15:30 2025] Mensagem recebida: TIME_REQUEST
[Fri May 23 23:15:30 2025] Enviando tempo local 1748042129.5962126
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 130, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 131, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 132, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 133, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 134, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 135, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 136, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 137, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 138, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 139, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 140, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 141, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 142, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
